nb_block,nb_chev_filter,nb_time_filter,hidden,time_strides,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
1,4,4,50,5,0.3202047348022461,-269.9933166503906,0.32487207651138306,-296.88465608858553,0.3439615070819855,"[0.31719714403152466, 0.3216118812561035, 0.32617467641830444, 0.34874284267425537, 0.37798431515693665, 0.3440479636192322, 0.3595525622367859, 0.34511852264404297, 0.3267515301704407, 0.34417855739593506, 0.34580668807029724, 0.3294029235839844, 0.34973129630088806, 0.3455359935760498, 0.3478415310382843, 0.35076799988746643, 0.3560773432254791, 0.35206201672554016, 0.3684738278388977, 0.34195685386657715, 0.34015557169914246, 0.3454410433769226, 0.3265019357204437]"
1,4,4,80,5,0.32020461559295654,-269.99322509765625,0.32487189769744873,-296.88455588291106,0.34396126866340637,"[0.3171970248222351, 0.32161176204681396, 0.3261745870113373, 0.3487425148487091, 0.377983957529068, 0.3440476953983307, 0.3595523536205292, 0.34511828422546387, 0.3267512023448944, 0.3441784083843231, 0.3458064794540405, 0.3294025957584381, 0.34973111748695374, 0.3455357253551483, 0.3478412628173828, 0.35076767206192017, 0.35607707500457764, 0.35206177830696106, 0.36847352981567383, 0.34195664525032043, 0.3401552736759186, 0.3454408645629883, 0.32650190591812134]"
1,4,4,100,5,0.3202047049999237,-269.9932861328125,0.32487207651138306,-296.8846387612352,0.3439614772796631,"[0.31719714403152466, 0.3216118812561035, 0.32617467641830444, 0.3487427234649658, 0.3779842257499695, 0.34404799342155457, 0.3595525324344635, 0.3451184928417206, 0.3267514705657959, 0.34417852759361267, 0.34580671787261963, 0.3294028639793396, 0.34973129630088806, 0.34553587436676025, 0.3478415310382843, 0.35076799988746643, 0.35607731342315674, 0.3520619869232178, 0.36847373843193054, 0.34195685386657715, 0.3401554524898529, 0.3454410433769226, 0.3265019357204437]"
1,4,4,50,10,0.008083699271082878,-3.3894832134246826,0.007424598094075918,-3.841134057819811,0.008834817446768284,"[0.004401030950248241, 0.0035723622422665358, 0.005771759897470474, 0.010780878365039825, 0.012514336034655571, 0.014272821135818958, 0.00800315011292696, 0.01038402784615755, 0.013083687983453274, 0.009879853576421738, 0.01242834236472845, 0.007987426593899727, 0.004060942213982344, 0.006620536558330059, 0.006840127054601908, 0.007376488763839006, 0.009475122205913067, 0.010264609009027481, 0.010845781303942204, 0.011062844656407833, 0.011103625409305096, 0.004717158153653145, 0.0077538699842989445]"
1,4,4,80,10,0.008083696477115154,-3.3895034790039062,0.007424603682011366,-3.841133738375001,0.008834795095026493,"[0.004401035141199827, 0.0035723692271858454, 0.005771750584244728, 0.010780884884297848, 0.012514354661107063, 0.01427282951772213, 0.008003171533346176, 0.0103840297088027, 0.013083693571388721, 0.009879853576421738, 0.012428352609276772, 0.007987436838448048, 0.0040609389543533325, 0.006619957275688648, 0.006840131711214781, 0.0073764934204518795, 0.00947511661797762, 0.010264613665640354, 0.010845775716006756, 0.011062846519052982, 0.011103634722530842, 0.004717150237411261, 0.0077538806945085526]"
1,4,4,100,10,0.008083711378276348,-3.3894858360290527,0.007424586918205023,-3.841115038269655,0.008834776468575,"[0.004401032812893391, 0.0035723650362342596, 0.0057717589661479, 0.010780866257846355, 0.012514348141849041, 0.014272814616560936, 0.00800313614308834, 0.01038401573896408, 0.01308367308229208, 0.00987984798848629, 0.012428311631083488, 0.007987418211996555, 0.004060941748321056, 0.006619775667786598, 0.006840130779892206, 0.007376481778919697, 0.009475109167397022, 0.010264609009027481, 0.010845756158232689, 0.01106283813714981, 0.011103601194918156, 0.004717150703072548, 0.007753860671073198]"
1,8,8,50,2,0.15918783843517303,-133.26087951660156,0.16071462631225586,-147.25508405981137,0.1706395149230957,"[0.15747186541557312, 0.159674271941185, 0.16175661981105804, 0.17292891442775726, 0.18669374287128448, 0.17075099050998688, 0.17843180894851685, 0.17064151167869568, 0.16147339344024658, 0.1703873574733734, 0.17165736854076385, 0.16329345107078552, 0.17427833378314972, 0.17248311638832092, 0.17207646369934082, 0.1737644225358963, 0.17608694732189178, 0.1742170751094818, 0.18335190415382385, 0.16943293809890747, 0.16908049583435059, 0.1713199019432068, 0.1634552925825119]"
1,8,8,80,2,0.15918786823749542,-133.26095581054688,0.1607147455215454,-147.25509754825862,0.17063948512077332,"[0.15747196972370148, 0.15967442095279694, 0.1617567241191864, 0.17292894423007965, 0.1866934895515442, 0.17075110971927643, 0.17843173444271088, 0.17064139246940613, 0.16147345304489136, 0.17038732767105103, 0.17165741324424744, 0.16329340636730194, 0.17427818477153778, 0.17248333990573883, 0.17207640409469604, 0.17376434803009033, 0.17608687281608582, 0.17421697080135345, 0.1833518147468567, 0.16943295300006866, 0.16908051073551178, 0.1713198721408844, 0.16345536708831787]"
1,8,8,100,2,0.15918785333633423,-133.2609405517578,0.16071471571922302,-147.25508939698074,0.17063945531845093,"[0.1574719399213791, 0.15967439115047455, 0.1617567092180252, 0.17292891442775726, 0.18669332563877106, 0.17075100541114807, 0.17843171954154968, 0.17064142227172852, 0.1614733636379242, 0.17038728296756744, 0.17165735363960266, 0.16329337656497955, 0.17427821457386017, 0.1724831610918045, 0.17207635939121246, 0.17376431822776794, 0.17608685791492462, 0.17421692609786987, 0.18335166573524475, 0.1694328933954239, 0.1690804809331894, 0.17131991684436798, 0.16345539689064026]"
1,8,8,50,5,0.057701464742422104,-46.886539459228516,0.058418914675712585,-51.75633886984372,0.06284234672784805,"[0.055338095873594284, 0.055593278259038925, 0.05807558074593544, 0.06428338587284088, 0.07012517750263214, 0.06511595100164413, 0.06506963819265366, 0.06384508311748505, 0.062103379517793655, 0.06372173875570297, 0.06549479812383652, 0.05984862521290779, 0.0615554004907608, 0.06190935894846916, 0.06251098960638046, 0.06346065551042557, 0.06546420603990555, 0.06473549455404282, 0.06858915090560913, 0.06416421383619308, 0.06382857263088226, 0.06083611771464348, 0.059704963117837906]"
