nb_block,nb_chev_filter,nb_time_filter,time_strides,hidden,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Loss_eval,Loss_tst,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
1,4,4,5,50,1.1394931077957153,0.5982051282051282,0.42687572980329824,0.47412182644941264,0.4225681352118901,1.2599645853042603,1.3182293176651,0.5952380952380952,0.5597342995169082,0.5442226255293405,0.5191847265221877
1,4,4,5,80,1.3383904695510864,0.5507692307692309,0.28898384651218095,0.3758241758241757,0.30574408895366567,1.3334280252456665,1.4186055660247803,0.5,0.32539682539682535,0.4333333333333334,0.35423510466988734
1,4,4,5,100,1.1941463947296143,0.5853846153846154,0.40934769968720003,0.47005494505494505,0.4049036612625291,1.283707857131958,1.3467276096343994,0.5595238095238095,0.4220385395537526,0.5232950191570881,0.4523809523809524
1,4,4,10,20,1.2089465856552124,0.592051282051282,0.3910752160836865,0.4687400530503979,0.40297403026001494,1.2925251722335815,1.2985856533050537,0.5714285714285714,0.4979170900223531,0.5039342609397055,0.48382908504612365
1,4,4,10,50,1.1814022064208984,0.6056410256410256,0.4045816532553851,0.4811893709738537,0.4187793624319119,1.2558465003967285,1.3384230136871338,0.5357142857142857,0.4800626713670192,0.48013309134906235,0.4592043745727956
1,4,4,10,80,1.1985101699829102,0.581025641025641,0.3843972001160516,0.45871731716559305,0.39729093371436375,1.2989579439163208,1.3256350755691528,0.5714285714285714,0.424002849002849,0.5259770114942528,0.4633501400560224
1,4,4,10,100,1.2121814489364624,0.5794871794871794,0.3797459730188721,0.4458696475937855,0.3780385409025015,1.3042751550674438,1.3448463678359985,0.5595238095238095,0.4302645502645503,0.5279693486590038,0.46903195488721805
1,4,4,20,20,1.3858839273452759,0.5428205128205128,0.26988990635484955,0.36730769230769234,0.27693351428724716,1.335612177848816,1.416141152381897,0.4880952380952381,0.3225641025641025,0.4111111111111111,0.33309086500575863
1,4,4,20,50,1.3345725536346436,0.5448717948717949,0.29178068989997785,0.3695054945054945,0.30317908302538127,1.3447272777557373,1.443472981452942,0.4642857142857143,0.290625,0.3888888888888889,0.3180326182023975
1,4,4,20,80,1.3814579248428345,0.5507692307692307,0.27287111209552584,0.3758241758241759,0.29525153191278947,1.3200464248657227,1.4226975440979004,0.4523809523809524,0.2505334374186833,0.3708812260536399,0.29196581196581195
1,4,4,20,100,1.2115585803985596,0.5838461538461539,0.36152695648673977,0.46789124668435017,0.38964271068148715,1.2973881959915161,1.3316010236740112,0.5714285714285714,0.46025641025641023,0.5293103448275861,0.4805021520803443
1,8,8,2,20,1.33133065700531,0.5561538461538461,0.31691693428181256,0.38159340659340657,0.31337559007852567,1.3256597518920898,1.4320100545883179,0.4642857142857143,0.2797069597069597,0.37777777777777777,0.30673758865248224
1,8,8,2,50,1.0736368894577026,0.6217948717948718,0.4903858274585688,0.5334586964759379,0.49076241090423867,1.2155059576034546,1.1806596517562866,0.7380952380952381,0.6626262626262627,0.6630570679572495,0.6490781103684331
1,8,8,2,80,1.3004858493804932,0.5615384615384617,0.2896608434079354,0.38764683592269783,0.3158192483411889,1.3232316970825195,1.46248459815979,0.44047619047619047,0.2603418803418803,0.35,0.28180024529408626
