nb_block,nb_chev_filter,nb_time_filter,time_strides,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
2,2,2,4,0.3382430374622345,-276.3807678222656,0.343760222196579,-304.74077821050435,0.3658626079559326,"[[0.04813803732395172, 0.048532549291849136, 0.04786734655499458, 1.1008520126342773, 0.04829377308487892, 0.0485215000808239, 0.049410268664360046, 0.04862415790557861, 1.1048777103424072, 0.048093199729919434, 0.04810625687241554, 1.1064702272415161, 0.0485820509493351, 0.047515518963336945, 1.1079872846603394, 0.04787847772240639, 1.1098638772964478, 0.048586487770080566, 0.048355914652347565, 1.1106971502304077]]"
2,4,4,1,0.16046594083309174,-134.30816650390625,0.16229020059108734,-148.122803033802,0.17198725044727325,"[[0.004884854890406132, 0.005389688536524773, 0.003320844378322363, 1.1008520126342773, 1.1019717454910278, 0.003773703472688794, 0.005576309282332659, 0.006668053567409515, 0.005289379507303238, 0.006918254308402538, 0.008647233247756958, 0.0072700553573668, 0.009951764717698097, 0.007905201055109501, 0.007679172325879335, 0.008830392733216286, 0.011274915188550949, 1.109832525253296, 0.01290055364370346, 0.01080835796892643]]"
2,4,4,2,0.006936540827155113,-3.475001811981201,0.0070494539104402065,-4.096290477796451,0.008572861552238464,"[[0.0035190891940146685, 0.0062322597950696945, 0.004595218691974878, 0.005524348933249712, 0.0071495939046144485, 0.005999783519655466, 0.006379744037985802, 0.009438293054699898, 0.007546330336481333, 0.007946468889713287, 0.007572027388960123, 0.008516090922057629, 0.011257060803472996, 0.009531775489449501, 0.009103650227189064, 0.01168705616146326, 0.012418660335242748, 0.012697153724730015, 0.012816869653761387, 0.01152574922889471]]"
2,4,4,4,0.008966620080173016,-4.165236473083496,0.008649717085063457,-4.8100421466823455,0.010457184165716171,"[[0.007819910533726215, 0.004333869554102421, 0.005888200830668211, 0.009153380058705807, 0.008300120010972023, 0.009976783767342567, 0.006103217136114836, 0.008006276562809944, 0.012147314846515656, 0.011172866448760033, 0.010419467464089394, 0.014222381636500359, 0.011689976789057255, 0.011149505153298378, 0.011563018895685673, 0.010692516341805458, 0.016940880566835403, 0.012913335114717484, 0.012758404947817326, 0.013892240822315216]]"
2,8,8,1,0.1077316403388977,-89.78739166259766,0.10878969728946686,-98.70874979934352,0.11518283933401108,"[[1.1002461910247803, 0.002504103584215045, 0.0055054351687431335, 0.003441836452111602, 0.004090552218258381, 0.002796972868964076, 0.003660696092993021, 0.003995813895016909, 0.0038680315483361483, 0.004688988905400038, 0.004951823968440294, 0.005906685255467892, 0.005684847477823496, 1.1077286005020142, 0.00723095191642642, 0.006305907852947712, 0.00789983943104744, 0.006982349790632725, 0.007938582450151443, 0.008228403516113758]]"
2,8,8,2,0.0036410645116120577,-1.1721434593200684,0.003605886595323682,-1.40478397674441,0.0040470995008945465,"[[0.0014763446524739265, 0.0018566175131127238, 0.0018369009485468268, 0.0022228648886084557, 0.0021405599545687437, 0.0024735156912356615, 0.0028665976133197546, 0.003072468563914299, 0.0030676606111228466, 0.003326509380713105, 0.003488837508484721, 0.004625792149454355, 0.0043784864246845245, 0.005212776828557253, 0.005505015607923269, 0.005900459364056587, 0.00668063061311841, 0.006353331729769707, 0.006777031347155571, 0.007679589092731476]]"
2,8,8,4,0.15966711938381195,-134.02288818359375,0.16101299226284027,-147.6563024079758,0.17068065702915192,"[[1.1002461910247803, 0.0035272357054054737, 0.003479194827377796, 0.0035637503024190664, 1.1019717454910278, 0.0038074853364378214, 0.0039953505620360374, 0.0050259847193956375, 1.1048777103424072, 0.00488598458468914, 0.005105553660541773, 0.006555164698511362, 0.005117977503687143, 0.007019874639809132, 0.007706461939960718, 0.010182593949139118, 0.008167151361703873, 0.009871278889477253, 0.008787579834461212, 0.00971913617104292]]"
3,2,2,1,0.18954376876354218,-147.03382873535156,0.1932707279920578,-162.14232808597365,0.20668712258338928,"[[1.1002461910247803, 0.047985780984163284, 0.04758235812187195, 0.04786532744765282, 0.04849545285105705, 0.048234108835458755, 0.04900343343615532, 0.049354393035173416, 0.04830194637179375, 1.105556845664978, 0.04799193888902664, 0.04778064414858818, 0.04893514886498451, 0.04727311059832573, 0.04748309776186943, 0.04746133089065552, 0.04743532836437225, 0.04823807626962662, 1.1102263927459717, 0.04829122871160507]]"
3,2,2,2,0.2888309061527252,-234.0556182861328,0.29343825578689575,-256.9095312573885,0.3120521008968353,"[[1.1002461910247803, 0.04824654757976532, 0.047873564064502716, 1.1008520126342773, 0.047797370702028275, 0.04837701842188835, 0.04898672550916672, 0.04852845147252083, 0.04824686795473099, 0.04796367138624191, 1.1062639951705933, 1.1064702272415161, 1.1068673133850098, 0.0475408136844635, 0.04767203703522682, 0.047496724873781204, 0.04724738001823425, 0.04813501611351967, 0.04818134009838104, 0.04804941639304161]]"
3,2,2,4,0.04012157395482063,-18.491933822631836,0.042970407754182816,-19.990982750084726,0.04835682734847069,"[[0.04822343587875366, 0.04856045916676521, 0.0480315163731575, 0.04822424054145813, 0.048152390867471695, 0.04850911721587181, 0.04943258687853813, 0.04865620657801628, 0.04852689430117607, 0.04834449291229248, 0.048073820769786835, 0.048234183341264725, 0.04885080084204674, 0.04760570079088211, 0.047976359724998474, 0.04790011793375015, 0.04786050692200661, 0.04868072643876076, 0.048651840537786484, 0.048641230911016464]]"
