Embedding,k,Hidden,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
3,20,5,0.05571281909942627,-0.978762686252594,0.06426522135734558,-1.4521235485936375,0.050000011920928955,"[0.03644786402583122, 0.04229805991053581, 0.07560132443904877, 0.05249254032969475, 0.07763079553842545, 0.04535821080207825, 0.082957923412323, 0.031489111483097076, 0.06827645748853683, 0.035223718732595444, 0.043328363448381424, 0.021763186901807785, 0.04450375959277153, 0.049544982612133026, 0.03949594870209694, 0.0598609559237957, 0.03819893300533295, 0.052915263921022415, 0.05314948409795761, 0.050394024699926376, 0.057867683470249176, 0.05436185747385025, 0.03683977946639061]"
4,20,5,0.04949554055929184,-0.5932506918907166,0.06002907454967499,-1.3318106074487763,0.04378167539834976,"[0.052141930907964706, 0.03662307560443878, 0.04238574206829071, 0.05440738424658775, 0.041234441101551056, 0.050148483365774155, 0.043897490948438644, 0.04156116023659706, 0.06287307292222977, 0.04624364525079727, 0.05439121648669243, 0.03945348039269447, 0.026511764153838158, 0.02364659309387207, 0.03271348401904106, 0.04230285808444023, 0.04542744532227516, 0.04910678789019585, 0.06184647977352142, 0.06187624856829643, 0.039563458412885666, 0.0285174623131752, 0.030104802921414375]"
2,50,5,0.07117660343647003,-1.3042328357696533,0.07769231498241425,-1.6526497506362312,0.0522545650601387,"[0.04343213140964508, 0.056337274610996246, 0.047542423009872437, 0.04198933020234108, 0.06473807245492935, 0.06280016154050827, 0.0528864860534668, 0.05484982952475548, 0.06902019679546356, 0.04777787998318672, 0.05538060888648033, 0.04783150926232338, 0.05702599138021469, 0.046636976301670074, 0.03807617723941803, 0.05127938836812973, 0.047798145562410355, 0.05638488009572029, 0.06544008105993271, 0.05907861143350601, 0.044694628566503525, 0.045804157853126526, 0.04504995048046112]"
3,50,5,0.06694602221250534,-1.3490725755691528,0.07410424202680588,-2.548214195603519,0.05635055899620056,"[0.05119394138455391, 0.06043350324034691, 0.049278974533081055, 0.0575733408331871, 0.051843076944351196, 0.06608647853136063, 0.056671082973480225, 0.0385751947760582, 0.07220666855573654, 0.0412135049700737, 0.06098123639822006, 0.035101547837257385, 0.04510177671909332, 0.05011609569191933, 0.06581132113933563, 0.041321780532598495, 0.07150927186012268, 0.07300946861505508, 0.0625387579202652, 0.06558618694543839, 0.05366114526987076, 0.08931133151054382, 0.036937080323696136]"
4,50,5,0.07782081514596939,-1.9441123008728027,0.08660244941711426,-4.383372363312457,0.07120433449745178,"[0.0672009289264679, 0.030614254996180534, 0.058293525129556656, 0.1404556781053543, 0.055464666336774826, 0.0773712694644928, 0.05621842294931412, 0.050315991044044495, 0.17540888488292694, 0.053010135889053345, 0.07209226489067078, 0.11742790043354034, 0.03124672919511795, 0.03110622800886631, 0.05020737275481224, 0.04278555139899254, 0.06015494093298912, 0.08274652808904648, 0.0674591064453125, 0.15311114490032196, 0.0692717656493187, 0.0484442263841629, 0.04729219526052475]"
2,10,10,0.02691483497619629,-0.0047411262057721615,0.04157298803329468,-1.0475149754947584,0.037197694182395935,"[0.0314314030110836, 0.023986423388123512, 0.017810195684432983, 0.06853962689638138, 0.04301565885543823, 0.038425758481025696, 0.03709083050489426, 0.023635737597942352, 0.07014410197734833, 0.035300225019454956, 0.04472413659095764, 0.02888927049934864, 0.03525714948773384, 0.03448311239480972, 0.0328935869038105, 0.02026659995317459, 0.03412226587533951, 0.03280255198478699, 0.03807183355093002, 0.037481680512428284, 0.055166859179735184, 0.03189222142100334, 0.04011572152376175]"
3,10,10,0.033054884523153305,-0.06712448596954346,0.043642111122608185,-0.516008156435378,0.03425567224621773,"[0.02074277028441429, 0.026888839900493622, 0.025609562173485756, 0.037086233496665955, 0.051491376012563705, 0.03728898987174034, 0.03292476758360863, 0.050589390099048615, 0.043022215366363525, 0.026336994022130966, 0.043443843722343445, 0.027315879240632057, 0.01784088835120201, 0.026467345654964447, 0.039582204073667526, 0.029369650408625603, 0.039920687675476074, 0.03490211442112923, 0.03700915724039078, 0.03807251527905464, 0.04414181411266327, 0.025486689060926437, 0.03234654292464256]"
4,10,10,0.03271040320396423,-0.09999845176935196,0.04383125901222229,-0.8163717571449794,0.03815985098481178,"[0.04166268929839134, 0.028111765161156654, 0.02799973636865616, 0.03751492127776146, 0.03720436990261078, 0.04538402333855629, 0.051321372389793396, 0.04064483940601349, 0.037046000361442566, 0.04498162493109703, 0.038539957255125046, 0.032137271016836166, 0.029472406953573227, 0.03003745898604393, 0.03300371393561363, 0.054324470460414886, 0.05174772068858147, 0.03459197282791138, 0.03797873854637146, 0.040847957134246826, 0.051915861666202545, 0.026021402329206467, 0.025186266750097275]"
2,20,10,0.03723632171750069,-0.13111332058906555,0.04664142057299614,-0.8392020039338642,0.037464868277311325,"[0.030724966898560524, 0.024852633476257324, 0.0420951247215271, 0.03642117232084274, 0.03484145551919937, 0.03579208254814148, 0.026404688134789467, 0.039082594215869904, 0.044251665472984314, 0.03798900544643402, 0.038906633853912354, 0.02873186767101288, 0.028022965416312218, 0.03183041885495186, 0.028164062649011612, 0.027588827535510063, 0.07857206463813782, 0.05196012556552887, 0.04756822809576988, 0.03849542513489723, 0.0346607081592083, 0.026364780962467194, 0.04837046191096306]"
3,20,10,0.03780723735690117,-0.13729462027549744,0.04792899265885353,-0.5435596702475233,0.03714222088456154,"[0.035973865538835526, 0.03154342621564865, 0.03928801789879799, 0.03507222235202789, 0.03800475597381592, 0.03864959999918938, 0.03771476447582245, 0.03384775668382645, 0.046348392963409424, 0.039233848452568054, 0.03570229932665825, 0.028936998918652534, 0.0315830260515213, 0.028530780225992203, 0.030539143830537796, 0.057720672339200974, 0.04263635724782944, 0.03533193841576576, 0.03992435708642006, 0.037966713309288025, 0.042748674750328064, 0.022609736770391464, 0.044363684952259064]"
